,ses_rec,ses_rec_avg,ses_rec_sd,ses_rec_cv,user_rec,ses_n,ses_n_r,int_n,view_count,cart_count,purchase_count,int_n_r,tran_n,tran_n_r,rev_sum,rev_per_purchase,rev_sum_r,major_spend_r,int_cat_n,int_itm_n,int_cat_n_avg,int_itm_n_avg,ses_mo_avg,ses_mo_sd,ses_hr_avg,ses_hr_sd,ses_wknd_r,ses_len_avg,time_to_int,time_to_tran
1515915625519380000,44.13104166666667,2.6948925264550265,8.004472712756852,297.0238194725438,157.5014236111111,36,0.317543254089426,56,55,1,0,1.5555555555555556,0,0.0,0.0,0.0,0.0,0.0,17,44,0.4722222222222222,1.2222222222222223,9.035714285714286,1.2204959605055599,13.125,2.472117237584745,0.07142857142857142,884.1884259259259,2968.2427272727273,0.0
1515915625513230000,148.4756365740741,4.510763888888889,2.0740162093552645,45.97926782344056,157.50118055555555,3,0.3323899375101788,4,3,0,1,1.3333333333333333,1,0.3333333333333333,140.63,140.63,140.63,0.0,2,3,0.6666666666666666,1.0,9.5,0.5773502691896255,12.0,0.816496580927726,0.75,1.9277777777777778,4332.261111111112,0.0
1515915625519010000,85.43608796296296,24.021674382716053,19.545231673118415,81.36498464562277,157.5011111111111,4,0.055505428642921184,7,7,0,0,1.75,0,0.0,0.0,0.0,0.0,0.0,3,7,0.75,1.75,9.714285714285714,1.2535663410560172,13.285714285714286,2.4299715851758235,0.7142857142857143,3.7666666666666666,17295.605555555554,0.0
1515915625510740000,157.5010763888889,0.0,0.0,0.0,157.5010763888889,1,1.0,1,1,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,9.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
1515915625519320000,29.892025462962962,6.380197916666667,11.645592142536595,182.52712995180613,157.50050925925925,21,0.16456586094638248,36,34,2,0,1.7142857142857142,0,0.0,0.0,0.0,0.0,0.0,10,32,0.47619047619047616,1.5238095238095237,9.555555555555555,2.285912689801784,12.36111111111111,5.188739333693288,0.19444444444444445,18.053174603174604,5250.177619047619,0.0
1515915625356200000,82.70905092592592,12.465225694444447,14.355403584319447,115.16360743245444,157.5004050925926,7,0.09359370582328339,19,16,2,1,2.7142857142857144,1,0.14285714285714285,97.46,97.46,97.46,0.0,2,6,0.2857142857142857,0.8571428571428571,10.473684210526315,1.1239029738980328,12.842105263157896,8.59756527483047,0.10526315789473684,9654.630952380952,5983.3083333333325,0.0
1515915625519330000,141.69414351851853,1.7560982510288066,2.449432389526261,139.48151181696502,157.49902777777777,10,0.632715800758966,31,31,0,0,3.1,0,0.0,0.0,0.0,0.0,0.0,6,9,0.6,0.9,9.161290322580646,0.3738782505529831,14.741935483870968,3.568078305712884,0.06451612903225806,171.80333333333334,758.6344444444445,0.0
1515915625507210000,157.49032407407407,0.0,0.0,0.0,157.4987037037037,1,1.0,2,2,0,0,2.0,0,0.0,0.0,0.0,0.0,0.0,1,2,1.0,2.0,9.0,0.0,12.0,0.0,0.0,12.066666666666666,12.066666666666666,0.0
1515915625519350000,60.29667824074074,6.479810956790123,12.357336153508337,190.70519550511298,157.49833333333333,16,0.1646062506318301,45,41,2,2,2.8125,2,0.125,206.81,103.405,206.81,0.0,10,26,0.625,1.625,9.6,0.939051746081216,12.377777777777778,4.923454482414155,0.022222222222222223,1148.09375,3181.145075757576,0.0
1515915625519390000,8.591481481481482,2.5238359227871943,12.575401594018452,498.26541735450166,157.49780092592593,60,0.40293790232580046,92,82,5,5,1.5333333333333334,5,0.08333333333333333,618.1,123.62,206.03333333333333,0.0,23,67,0.38333333333333336,1.1166666666666667,9.054347826086957,0.8939863857505381,12.065217391304348,3.340738708288461,0.021739130434782608,355.7677777777778,2356.31978021978,0.12216724537037037
1515915625507410000,144.40296296296296,4.364795524691358,6.1314850549160935,140.47588301057152,157.49734953703702,4,0.305474409005131,9,9,0,0,2.25,0,0.0,0.0,0.0,0.0,0.0,3,8,0.75,2.0,9.555555555555555,0.5270462766947308,8.0,6.670832032063167,0.0,0.75,2356.9895833333335,0.0
1515915625470770000,137.7103587962963,9.893478009259258,12.894558648993726,130.33392945257242,157.4973148148148,3,0.15161503351967398,3,3,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,2,2,0.6666666666666666,0.6666666666666666,9.666666666666666,0.5773502691896258,10.0,3.4641016151377544,0.0,0.0,14246.608333333334,0.0
1515915625508480000,157.49689814814815,0.0,0.0,0.0,157.49689814814815,1,1.0,1,1,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,9.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
1515915625400990000,115.49258101851852,8.400631944444445,7.361891958513903,87.63497802546286,157.49574074074073,6,0.14284639631112409,7,7,0,0,1.1666666666666667,0,0.0,0.0,0.0,0.0,0.0,3,3,0.5,0.5,9.857142857142858,0.6900655593423545,9.571428571428571,2.6367367999823097,0.0,0.03888888888888889,10080.758333333333,0.0
1515915625512180000,125.44928240740741,0.745244939707149,0.4400282611901295,59.04478349937441,157.49481481481482,44,1.3730463092518097,49,49,0,0,1.1136363636363635,0,0.0,0.0,0.0,0.0,0.0,3,6,0.06818181818181818,0.13636363636363635,9.857142857142858,0.3535533905932733,7.653061224489796,5.21836109492308,0.30612244897959184,16.167045454545452,961.3659722222222,0.0
1515915625519340000,3.321076388888889,6.924022955246914,10.41606001738031,150.43364363035778,157.4946875,13,0.08432052610242782,47,40,5,2,3.6153846153846154,2,0.15384615384615385,183.94,91.97,183.94,0.0,11,35,0.8461538461538461,2.6923076923076925,9.25531914893617,1.3588371804179546,10.382978723404255,3.9921291665158036,0.0425531914893617,13990.396153846154,4826.304347826087,0.0
1515915625517820000,132.0990972222222,2.8214274691358026,2.6754395409508422,94.82574229598481,157.49194444444444,10,0.39381168690876966,26,23,2,1,2.6,1,0.1,163.52,163.52,163.52,0.0,8,10,0.8,1.0,9.576923076923077,0.5038314736557786,11.576923076923077,4.544650278497363,0.6923076923076923,2852.2233333333334,1462.628,0.0
1515915625519250000,31.711377314814815,15.722556423611111,13.892758413787826,88.36195615698085,157.4918287037037,9,0.0715532493374009,14,10,2,2,1.5555555555555556,2,0.2222222222222222,61.83,30.915,30.915,0.0,5,8,0.5555555555555556,0.8888888888888888,9.571428571428571,2.6519741765271836,9.0,4.47213595499958,0.14285714285714285,21.36111111111111,13932.603846153846,21.788414351851852
1515915625361430000,150.72958333333332,6.761990740740741,0.0,0.0,157.49157407407407,2,0.2957708871072649,2,2,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,2,2,1.0,1.0,9.5,0.7071067811865476,9.0,4.242640687119285,0.0,0.0,9737.266666666666,0.0
1515915625513570000,113.5111111111111,6.282830687830688,14.009387330195489,222.9789091297731,157.49100694444445,8,0.1819012948624727,23,16,1,6,2.875,6,0.75,740.0999999999999,123.34999999999998,370.04999999999995,0.0,3,4,0.375,0.5,9.217391304347826,0.5997364375010102,8.26086956521739,5.189301856217338,0.13043478260869565,411.58333333333337,2878.6840909090906,0.005340277777777778
1515915625517630000,51.812650462962964,13.20974392361111,12.959083832434237,98.10246063340529,157.49060185185186,9,0.0851644064037588,13,13,0,0,1.4444444444444444,0,0.0,0.0,0.0,0.0,0.0,6,11,0.6666666666666666,1.2222222222222223,9.23076923076923,2.6189643676412167,8.615384615384615,4.822490047310648,0.15384615384615385,779.0833333333334,12681.354166666666,0.0
1515915625518130000,73.44688657407407,7.640021043771043,12.697045367506382,166.19123553145658,157.4886574074074,12,0.1427861393329954,20,18,0,2,1.6666666666666667,2,0.16666666666666666,178.44,89.22,178.44,0.0,8,13,0.6666666666666666,1.0833333333333333,10.2,1.1964860832322377,13.45,4.465953072089458,0.05,96.16388888888889,6369.481578947369,0.004363425925925926
1515915625477830000,157.48835648148147,0.0,0.0,0.0,157.48835648148147,1,1.0,1,1,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,9.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
1515915625517750000,59.18672453703704,8.191780478395062,14.185386688526847,173.16609894441478,157.4880902777778,13,0.132246382357353,27,20,6,1,2.076923076923077,1,0.07692307692307693,75.67,75.67,75.67,0.0,4,5,0.3076923076923077,0.38461538461538464,9.25925925925926,0.7121253450920751,12.851851851851851,3.370730389963481,0.3333333333333333,33.815384615384616,5444.383333333333,0.0
1515915625519370000,112.4752662037037,4.501270833333334,5.541252072169834,123.1041694077839,157.48797453703705,11,0.2443754310125381,15,15,0,0,1.3636363636363635,0,0.0,0.0,0.0,0.0,0.0,7,10,0.6363636363636364,0.9090909090909091,9.466666666666667,0.7432233529572062,12.933333333333334,4.366539438350084,0.3333333333333333,912.3909090909091,4629.878571428571,0.0
1515915625518850000,130.7395486111111,5.349641203703703,7.878657122211033,147.27449603080714,157.48775462962962,6,0.22431410898532914,8,8,0,0,1.3333333333333333,0,0.0,0.0,0.0,0.0,0.0,3,4,0.5,0.6666666666666666,9.5,0.5345224838248496,7.75,2.1876275473019366,0.0,201.65833333333333,5502.4880952380945,0.0
1515915625481240000,151.39940972222223,6.08167824074074,0.0,0.0,157.48680555555555,2,0.3285477164222523,6,4,1,1,3.0,1,0.5,175.56,175.56,175.56,0.0,2,2,1.0,1.0,9.0,0.0,13.666666666666666,0.816496580927726,0.0,4.116666666666666,1753.17,0.0
1515915625518810000,146.51258101851852,0.4388240740740741,0.7367939330205711,167.90189430131383,157.48318287037037,26,2.3699702487709158,35,34,1,0,1.3461538461538463,0,0.0,0.0,0.0,0.0,0.0,3,7,0.11538461538461539,0.2692307692307692,9.257142857142858,0.4434395736311602,11.028571428571428,4.508069329062082,0.2857142857142857,441.82243589743587,464.6372549019608,0.0
1515915625512510000,157.48311342592592,0.0,0.0,0.0,157.48311342592592,1,1.0,1,1,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,9.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
1515915625508700000,39.64130787037037,23.567430555555557,26.989122805582276,114.51873271445845,157.48260416666668,6,0.05091593684538056,17,14,1,2,2.8333333333333335,2,0.3333333333333333,65.08,32.54,65.08,0.0,4,10,0.6666666666666666,1.6666666666666667,9.235294117647058,3.382480815997074,12.411764705882353,5.244745269426962,0.35294117647058826,8.983333333333333,10605.716666666667,0.0008796296296296296
1515915625499030000,157.48244212962962,0.0,0.0,0.0,157.48244212962962,1,1.0,1,1,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,9.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
1515915625499580000,135.70393518518517,1.0889137731481482,1.6982578193808857,155.9588886887773,157.48221064814814,21,0.9642636780728332,21,21,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0.047619047619047616,0.047619047619047616,9.619047619047619,0.49761335152812025,11.047619047619047,4.737891835787204,0.23809523809523808,0.0,1568.0358333333334,0.0
1515915625369250000,157.48162037037036,0.0,0.0,0.0,157.48212962962964,1,1.0,2,2,0,0,2.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,9.0,0.0,12.0,0.0,0.0,0.7333333333333333,0.7333333333333333,0.0
1515915625510960000,1.5333449074074075,155.94872685185186,0.0,0.0,157.48207175925927,2,0.012824727975496457,2,2,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,2,2,1.0,1.0,5.5,4.949747468305833,11.5,0.7071067811865476,0.5,0.0,224566.16666666666,0.0
1515915625518950000,83.68627314814815,4.919695216049383,5.564966384483616,113.11608016547821,157.4817013888889,16,0.21681559930519884,20,20,0,0,1.25,0,0.0,0.0,0.0,0.0,0.0,1,4,0.0625,0.25,10.05,0.8255779474818965,9.95,2.114486375359024,0.0,115.4125,5592.916666666666,0.0
1515915625455740000,157.48133101851852,0.0,0.0,0.0,157.48133101851852,1,1.0,1,1,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,9.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
1515915625519360000,11.445914351851853,13.275847011784514,20.491614716998626,154.35259760683385,157.48023148148147,12,0.0821724662796075,29,28,1,0,2.4166666666666665,0,0.0,0.0,0.0,0.0,0.0,7,25,0.5833333333333334,2.0833333333333335,9.172413793103448,1.5826958357101923,12.724137931034482,4.757674640020644,0.0,1620.7124999999999,7510.33630952381,0.0
1515915625469150000,157.47987268518517,0.0,0.0,0.0,157.47987268518517,1,1.0,1,1,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,9.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
1515915625519400000,36.21085648148148,1.9248870149911816,9.312214967523964,483.7798216206797,157.4792824074074,64,0.5277548505419948,96,84,6,6,1.5,6,0.09375,305.54999999999995,50.92499999999999,61.10999999999999,0.0,19,69,0.296875,1.078125,8.875,1.1898695196046543,12.28125,1.0632930476887164,0.020833333333333332,3.806510416666667,1838.1740350877192,0.013097222222222222
1515915625517090000,60.544131944444445,5.385263631687242,10.904781321966523,202.4929895316931,157.4788773148148,19,0.19600814885729972,45,44,1,0,2.3684210526315788,0,0.0,0.0,0.0,0.0,0.0,4,5,0.21052631578947367,0.2631578947368421,9.844444444444445,0.6380209299628866,9.911111111111111,4.737770007763636,0.15555555555555556,661.9289473684211,3172.409848484848,0.0
1515915625506250000,29.551342592592594,0.9580941358024692,0.6969911764821346,72.74767169912349,157.47576388888888,4,0.03126846273343907,14,13,1,0,3.5,0,0.0,0.0,0.0,0.0,0.0,4,4,1.0,1.0,8.0,3.9418855308673715,12.857142857142858,5.4611515108240525,0.42857142857142855,45797.145833333336,14170.089743589742,0.0
1515915625387780000,157.47524305555555,0.0,0.0,0.0,157.47524305555555,1,1.0,1,1,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,9.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
1515915625518960000,4.420914351851851,15.305430555555555,15.432464720079109,100.82999406035947,157.47521990740742,11,0.07186991545303002,14,13,1,0,1.2727272727272727,0,0.0,0.0,0.0,0.0,0.0,6,12,0.5454545454545454,1.0909090909090908,7.642857142857143,4.2896502073128175,13.0,3.4194016570604413,0.5714285714285714,0.4803030303030303,16953.707692307693,0.0
1515915625504920000,8.683726851851851,29.757782407407404,19.279902311419008,64.78944582449729,157.4726388888889,6,0.040325585541659575,17,17,0,0,2.8333333333333335,0,0.0,0.0,0.0,0.0,0.0,5,14,0.8333333333333334,2.3333333333333335,6.352941176470588,4.92368226623363,5.705882352941177,2.845274720531238,0.058823529411764705,26699.241666666665,13391.002083333335,0.0
1515915625470990000,156.73813657407408,0.0,0.0,0.0,157.4690740740741,1,1.0,5,3,1,1,5.0,1,1.0,33.08,33.08,33.08,0.0,1,2,1.0,2.0,9.0,0.0,10.8,2.6832815729997477,0.0,1052.55,263.13750000000005,0.0
1515915625358840000,138.6588888888889,9.40449074074074,12.338424076054265,131.19715268157555,157.46787037037038,3,0.15949826964068584,7,4,1,2,2.3333333333333335,2,0.6666666666666666,52.38,26.19,52.38,0.0,2,2,0.6666666666666666,0.6666666666666666,9.857142857142858,0.3779644730092272,13.714285714285714,2.811540841738193,0.0,4.722222222222222,4514.155555555555,0.0036458333333333334
1515915625499380000,153.67428240740742,1.895815972222222,1.614454090327855,85.15879779383003,157.46591435185186,3,0.7912160367768936,6,6,0,0,2.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.3333333333333333,1.0,9.0,0.0,8.166666666666666,2.9944392908634274,0.0,0.09444444444444444,1091.99,0.0
1515915625495730000,128.75494212962963,28.71005787037037,0.0,0.0,157.465,2,0.06966199821087993,3,3,0,0,1.5,0,0.0,0.0,0.0,0.0,0.0,2,2,1.0,1.0,9.333333333333334,0.5773502691896255,9.666666666666666,4.041451884327381,0.0,0.375,20671.241666666665,0.0
1515915625423850000,136.77881944444445,10.112141203703704,8.278714532141944,81.86905587423716,157.46306712962962,3,0.14503790738053818,17,13,4,0,5.666666666666667,0,0.0,0.0,0.0,0.0,0.0,3,7,1.0,2.3333333333333335,9.470588235294118,0.5144957554275265,16.941176470588236,3.782700560368448,0.0,225.65555555555557,1861.5822916666664,0.0
1515915625519410000,117.66858796296296,0.6121899928774929,2.5385634384420634,414.669215109183,157.4609375,66,1.658610279811952,109,102,4,3,1.6515151515151516,3,0.045454545454545456,159.42000000000002,53.14000000000001,159.42000000000002,0.0,22,72,0.3333333333333333,1.0909090909090908,9.100917431192661,0.3318007581655988,12.20183486238532,1.859807917768818,0.027522935779816515,196.52272727272728,530.5646604938271,0.0027488425925925927
